match,market,line,over_price,under_price,agency
Brisbane Heat v Sydney Sixers,Total Match Boundaries,40.5,1.8,1.9,Bet365
Sydney Thunder v Melbourne Renegades,Total Match Boundaries,35.5,1.9,1.8,Bet365
