match,market,team,line,over_price,under_price,agency
Sydney Sixers v Melbourne Stars,First Over Runs - Team,Sydney Sixers,5.5,1.7,2.05,Pointsbet
Sydney Sixers v Melbourne Stars,First Over Runs - Team,Melbourne Stars,5.5,1.87,1.87,Pointsbet
Perth Scorchers v Brisbane Heat,First Over Runs - Team,Perth Scorchers,5.5,1.75,2,Pointsbet
Perth Scorchers v Brisbane Heat,First Over Runs - Team,Brisbane Heat,5.5,1.75,2,Pointsbet
