match,market,home_team,away_team,player_name,player_team,opposition_team,line,over_price,under_price,agency
Melbourne Renegades v Melbourne Stars,Player Wickets,Melbourne Renegades,Melbourne Stars,Adam Zampa,Melbourne Renegades,Melbourne Stars,0.5,1.25,NA,TopSport
Melbourne Renegades v Melbourne Stars,Player Wickets,Melbourne Renegades,Melbourne Stars,Adam Zampa,Melbourne Renegades,Melbourne Stars,1.5,2.3,1.55,TopSport
Melbourne Renegades v Melbourne Stars,Player Wickets,Melbourne Renegades,Melbourne Stars,Adam Zampa,Melbourne Renegades,Melbourne Stars,2.5,5,NA,TopSport
Melbourne Renegades v Melbourne Stars,Player Wickets,Melbourne Renegades,Melbourne Stars,Adam Zampa,Melbourne Renegades,Melbourne Stars,3.5,11,NA,TopSport
Melbourne Renegades v Melbourne Stars,Player Wickets,Melbourne Renegades,Melbourne Stars,Kane Richardson,Melbourne Renegades,Melbourne Stars,0.5,1.3,NA,TopSport
Melbourne Renegades v Melbourne Stars,Player Wickets,Melbourne Renegades,Melbourne Stars,Kane Richardson,Melbourne Renegades,Melbourne Stars,1.5,2.5,1.47,TopSport
Melbourne Renegades v Melbourne Stars,Player Wickets,Melbourne Renegades,Melbourne Stars,Kane Richardson,Melbourne Renegades,Melbourne Stars,2.5,5.4,NA,TopSport
Melbourne Renegades v Melbourne Stars,Player Wickets,Melbourne Renegades,Melbourne Stars,Kane Richardson,Melbourne Renegades,Melbourne Stars,3.5,11,NA,TopSport
Melbourne Renegades v Melbourne Stars,Player Wickets,Melbourne Renegades,Melbourne Stars,Mark Steketee,Melbourne Stars,Melbourne Renegades,0.5,1.31,NA,TopSport
Melbourne Renegades v Melbourne Stars,Player Wickets,Melbourne Renegades,Melbourne Stars,Mark Steketee,Melbourne Stars,Melbourne Renegades,1.5,2.55,1.45,TopSport
Melbourne Renegades v Melbourne Stars,Player Wickets,Melbourne Renegades,Melbourne Stars,Mark Steketee,Melbourne Stars,Melbourne Renegades,2.5,5.5,NA,TopSport
Melbourne Renegades v Melbourne Stars,Player Wickets,Melbourne Renegades,Melbourne Stars,Mark Steketee,Melbourne Stars,Melbourne Renegades,3.5,12,NA,TopSport
Melbourne Renegades v Melbourne Stars,Player Wickets,Melbourne Renegades,Melbourne Stars,Usama Mir,Melbourne Stars,Melbourne Renegades,0.5,1.26,NA,TopSport
Melbourne Renegades v Melbourne Stars,Player Wickets,Melbourne Renegades,Melbourne Stars,Usama Mir,Melbourne Stars,Melbourne Renegades,1.5,2.6,1.47,TopSport
Melbourne Renegades v Melbourne Stars,Player Wickets,Melbourne Renegades,Melbourne Stars,Usama Mir,Melbourne Stars,Melbourne Renegades,2.5,5.1,NA,TopSport
Melbourne Renegades v Melbourne Stars,Player Wickets,Melbourne Renegades,Melbourne Stars,Usama Mir,Melbourne Stars,Melbourne Renegades,3.5,11,NA,TopSport
