match,market_name,home_team,away_team,home_win,away_win,agency,margin
Adelaide Strikers v Perth Scorchers,Head To Head,Adelaide Strikers,Perth Scorchers,2.3,1.6,TAB,1.06
Hobart Hurricanes v Sydney Sixers,Head To Head,Hobart Hurricanes,Sydney Sixers,2.05,1.75,TAB,1.059
Brisbane Heat v Melbourne Stars,Head To Head,Brisbane Heat,Melbourne Stars,1.7,2.1,TAB,1.064
